rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Rudy Ahlin","29","CBH","LW","1","0","0","0","","0","","","","","","","","","","",""
"2","Tom Anderson","27","NYA","LW","45","4","21","25","","22","","","","","","","","","","",""
"3","Syl Apps","23","TOR","C","47","21","29","50","","9","","","","","","","","","","",""
"4","Murray Armstrong","22","TOR","C","9","0","0","0","","0","","","","","","","","","","",""
"5","Oscar Asmundson","29","MTL","C","2","0","0","0","","0","","","","","","","","","","",""
"6","Larry Aurie","32","DET","RW","47","10","9","19","","19","","","","","","","","","","",""
"7","Marty Barry","32","DET","C","48","9","20","29","","34","","","","","","","","","","",""
"8","Bobby Bauer","22","BOS","RW","48","20","14","34","","9","","","","","","","","","","",""
"9","Red Beattie","30","TOT","LW","44","4","6","10","","5","","","","","","","","","","",""
"10","Pete Bessone","25","DET","D","6","0","1","1","","6","","","","","","","","","","",""
"11","Toe Blake","25","MTL","LW","43","17","16","33","","33","","","","","","","","","","",""
"12","Russ Blinco","29","MTM","C","47","10","9","19","","4","","","","","","","","","","",""
"13","Buzz Boll","26","TOR","LW","44","14","11","25","","18","","","","","","","","","","",""
"14","Frank Boucher","36","NYR","C","18","0","1","1","","2","","","","","","","","","","",""
"15","Ralph Bowman","26","DET","D","45","0","2","2","","26","","","","","","","","","","",""
"16","George Brown","25","MTL","C","34","1","7","8","","14","","","","","","","","","","",""
"17","Mud Bruneteau","23","DET","RW","24","3","6","9","","16","","","","","","","","","","",""
"18","Glenn Brydson","27","CBH","RW","19","1","3","4","","6","","","","","","","","","","",""
"19","Marty Burke","33","TOT","D","50","0","5","5","","39","","","","","","","","","","",""
"20","Walt Buswell","30","MTL","D","48","2","15","17","","24","","","","","","","","","","",""
"21","Herb Cain","25","MTM","LW","47","11","19","30","","10","","","","","","","","","","",""
"22","Lorne Carr","27","NYA","RW","48","16","7","23","","12","","","","","","","","","","",""
"23","Murph Chamberlain","22","TOR","LW","43","4","12","16","","51","","","","","","","","","","",""
"24","Art Chapman","31","NYA","C","45","2","27","29","","8","","","","","","","","","","",""
"25","Dit Clapper","30","BOS","D","46","6","9","15","","24","","","","","","","","","","",""
"26","Mac Colville","22","NYR","RW","48","14","14","28","","18","","","","","","","","","","",""
"27","Neil Colville","23","NYR","C","45","17","19","36","","11","","","","","","","","","","",""
"28","Charlie Conacher","28","TOR","RW","19","7","9","16","","6","","","","","","","","","","",""
"29","Bert Connelly","28","CBH","LW","15","1","2","3","","4","","","","","","","","","","",""
"30","Tom Cook","30","MTM","C","21","2","4","6","","0","","","","","","","","","","",""
"31","Joe Cooper","23","NYR","D","46","3","2","5","","56","","","","","","","","","","",""
"32","Chuck Corrigan","21","TOR","RW","3","0","0","0","","0","","","","","","","","","","",""
"33","Art Coulter","28","NYR","D","43","5","10","15","","90","","","","","","","","","","",""
"34","Bill Cowley","25","BOS","C","48","17","22","39","","8","","","","","","","","","","",""
"35","Jack Crawford","21","BOS","D","2","0","0","0","","0","","","","","","","","","","",""
"36","Maurice Croghan","23","MTM","D","16","0","0","0","","4","","","","","","","","","","",""
"37","Cully Dahlstrom","25","CBH","C","48","10","9","19","","11","","","","","","","","","","",""
"38","Bob Davidson","25","TOR","LW","48","3","17","20","","52","","","","","","","","","","",""
"39","Hap Day","36","NYA","D","43","0","3","3","","14","","","","","","","","","","",""
"40","Tony Demers","20","MTL","RW","6","0","0","0","","0","","","","","","","","","","",""
"41","Joffre Desilets","22","MTL","RW","32","6","7","13","","6","","","","","","","","","","",""
"42","Cecil Dillon","29","NYR","RW","48","21","18","39","","6","","","","","","","","","","",""
"43","John Doran","26","DET","D","7","0","0","0","","10","","","","","","","","","","",""
"44","Ken Doraty","31","DET","RW","2","0","1","1","","2","","","","","","","","","","",""
"45","Gordie Drillon","24","TOR","RW","48","26","26","52","","4","","","","","","","","","","",""
"46","Clarence Drouillard","23","DET","C","10","0","1","1","","0","","","","","","","","","","",""
"47","Polly Drouin","22","MTL","LW","31","7","13","20","","8","","","","","","","","","","",""
"48","Woody Dumart","21","BOS","LW","48","13","14","27","","6","","","","","","","","","","",""
"49","Hap Emms","33","NYA","LW","20","1","3","4","","6","","","","","","","","","","",""
"50","Stewart Evans","29","MTM","D","48","5","11","16","","59","","","","","","","","","","",""
"51","Jimmy Fowler","22","TOR","D","48","10","12","22","","8","","","","","","","","","","",""
"52","Johnny Gagnon","32","MTL","RW","47","13","17","30","","9","","","","","","","","","","",""
"53","John Gallagher","29","NYA","D","46","3","6","9","","18","","","","","","","","","","",""
"54","Ray Getliffe","23","BOS","LW","36","11","13","24","","16","","","","","","","","","","",""
"55","Leroy Goldsworthy","31","BOS","RW","46","9","10","19","","14","","","","","","","","","","",""
"56","Ebbie Goodfellow","30","DET","D","30","0","7","7","","13","","","","","","","","","","",""
"57","Johnny Gottselig","32","CBH","LW","48","13","19","32","","22","","","","","","","","","","",""
"58","Red Goupille","22","MTL","D","47","4","5","9","","44","","","","","","","","","","",""
"59","Bob Gracie","27","MTM","C","48","12","19","31","","32","","","","","","","","","","",""
"60","Red Hamill","21","BOS","LW","6","0","1","1","","2","","","","","","","","","","",""
"61","Reg Hamilton","23","TOR","D","45","1","4","5","","43","","","","","","","","","","",""
"62","Oscar Hanson","28","CBH","C","8","0","0","0","","0","","","","","","","","","","",""
"63","Paul Haynes","27","MTL","C","48","13","22","35","","25","","","","","","","","","","",""
"64","Ott Heller","27","NYR","D","48","2","14","16","","68","","","","","","","","","","",""
"65","Bryan Hextall","24","NYR","RW","48","17","4","21","","6","","","","","","","","","","",""
"66","Vic Heyliger","25","CBH","C","7","0","0","0","","0","","","","","","","","","","",""
"67","Mel Hill","23","BOS","RW","6","2","0","2","","2","","","","","","","","","","",""
"68","Dutch Hiller","22","NYR","LW","8","0","1","1","","2","","","","","","","","","","",""
"69","Flash Hollett","25","BOS","D","48","4","10","14","","54","","","","","","","","","","",""
"70","Red Horner","28","TOR","D","47","4","20","24","","82","","","","","","","","","","",""
"71","Syd Howe","26","DET","C","48","8","19","27","","14","","","","","","","","","","",""
"72","Ron Hudson","26","DET","RW","32","5","2","7","","2","","","","","","","","","","",""
"73","Art Jackson","22","BOS","LW","48","9","3","12","","24","","","","","","","","","","",""
"74","Busher Jackson","27","TOR","LW","48","17","17","34","","18","","","","","","","","","","",""
"75","Harold Jackson","19","CBH","D","3","0","0","0","","0","","","","","","","","","","",""
"76","Roger Jenkins","26","CBH","D","37","1","8","9","","26","","","","","","","","","","",""
"77","Joe Jerwa","31","NYA","D","48","3","14","17","","53","","","","","","","","","","",""
"78","Ching Johnson","39","NYA","D","31","0","0","0","","10","","","","","","","","","","",""
"79","Virgil Johnson","25","CBH","D","25","0","2","2","","2","","","","","","","","","","",""
"80","Aurele Joliat","36","MTL","LW","44","6","7","13","","24","","","","","","","","","","",""
"81","Bingo Kampman","23","TOR","D","32","1","2","3","","56","","","","","","","","","","",""
"82","Butch Keeling","32","NYR","LW","38","8","9","17","","12","","","","","","","","","","",""
"83","Pep Kelly","24","TOR","RW","43","9","10","19","","25","","","","","","","","","","",""
"84","Pete Kelly","24","DET","RW","9","0","1","1","","2","","","","","","","","","","",""
"85","Bill Kendall","27","CBH","RW","9","0","1","1","","2","","","","","","","","","","",""
"86","Hec Kilrea","30","DET","LW","48","9","9","18","","10","","","","","","","","","","",""
"87","Wally Kilrea","28","DET","C","5","0","0","0","","4","","","","","","","","","","",""
"88","Bobby Kirk","28","NYR","RW","39","4","8","12","","14","","","","","","","","","","",""
"89","Lloyd Klein","28","NYA","LW","3","0","1","1","","0","","","","","","","","","","",""
"90","Joe Lamb","31","TOT","RW","39","4","1","5","","26","","","","","","","","","","",""
"91","Pit Lepine","36","MTL","C","47","5","14","19","","24","","","","","","","","","","",""
"92","Alex Levinsky","27","CBH","D","48","3","2","5","","18","","","","","","","","","","",""
"93","Herbie Lewis","31","DET","LW","42","13","18","31","","12","","","","","","","","","","",""
"94","Carl Liscombe","22","DET","LW","41","14","10","24","","30","","","","","","","","","","",""
"95","Rod Lorrain","23","MTL","RW","48","13","19","32","","14","","","","","","","","","","",""
"96","Bill MacKenzie","26","TOT","D","46","1","2","3","","24","","","","","","","","","","",""
"97","Howie Mackie","24","DET","RW","7","0","0","0","","0","","","","","","","","","","",""
"98","Gus Mancuso","23","MTL","RW","17","1","1","2","","4","","","","","","","","","","",""
"99","Georges Mantha","29","MTL","LW","47","23","19","42","","12","","","","","","","","","","",""
"100","Mush March","29","CBH","RW","41","11","17","28","","16","","","","","","","","","","",""
"101","Gus Marker","30","MTM","RW","48","9","15","24","","35","","","","","","","","","","",""
"102","Charley Mason","25","NYA","RW","2","0","0","0","","0","","","","","","","","","","",""
"103","Bucko McDonald","23","DET","D","47","3","7","10","","14","","","","","","","","","","",""
"104","Nick Metz","23","TOR","LW","48","15","7","22","","12","","","","","","","","","","",""
"105","Larry Molyneaux","25","NYR","D","2","0","0","0","","2","","","","","","","","","","",""
"106","Armand Mondou","32","MTL","LW","7","2","4","6","","0","","","","","","","","","","",""
"107","Alex Motter","24","DET","C","32","5","17","22","","6","","","","","","","","","","",""
"108","Allan Murray","29","NYA","D","47","0","1","1","","34","","","","","","","","","","",""
"109","Hickey Nicholson","26","CBH","LW","2","1","0","1","","0","","","","","","","","","","",""
"110","Baldy Northcott","29","MTM","LW","46","11","12","23","","50","","","","","","","","","","",""
"111","Jimmy Orlando","21","DET","D","6","0","0","0","","4","","","","","","","","","","",""
"112","Pete Palangio","29","CBH","LW","19","2","1","3","","4","","","","","","","","","","",""
"113","George Parsons","23","TOR","RW","30","5","6","11","","6","","","","","","","","","","",""
"114","Lynn Patrick","25","NYR","LW","48","15","19","34","","24","","","","","","","","","","",""
"115","Muzz Patrick","22","NYR","D","1","0","2","2","","0","","","","","","","","","","",""
"116","Gord Pettinger","26","TOT","LW","47","8","13","21","","14","","","","","","","","","","",""
"117","Jack Portland","25","BOS","D","48","0","5","5","","26","","","","","","","","","","",""
"118","Babe Pratt","22","NYR","D","47","5","14","19","","56","","","","","","","","","","",""
"119","Armand Raymond","25","MTL","D","11","0","1","1","","10","","","","","","","","","","",""
"120","Earl Robinson","30","MTM","RW","39","4","7","11","","13","","","","","","","","","","",""
"121","Doc Romnes","29","CBH","C","44","10","22","32","","4","","","","","","","","","","",""
"122","Rolly Roulston","26","DET","D","2","0","1","1","","0","","","","","","","","","","",""
"123","Paul Runge","29","MTM","LW","39","5","7","12","","21","","","","","","","","","","",""
"124","Charlie Sands","26","BOS","RW","46","17","12","29","","12","","","","","","","","","","",""
"125","Milt Schmidt","19","BOS","C","44","13","14","27","","15","","","","","","","","","","",""
"126","Sweeney Schriner","26","NYA","LW","48","21","17","38","","22","","","","","","","","","","",""
"127","Earl Seibert","26","CBH","D/RW","48","8","13","21","","38","","","","","","","","","","",""
"128","Gerry Shannon","27","MTM","LW","36","0","3","3","","20","","","","","","","","","","",""
"129","John Sherf","24","DET","LW","6","0","0","0","","2","","","","","","","","","","",""
"130","Alex Shibicky","23","NYR","LW","48","17","18","35","","26","","","","","","","","","","",""
"131","Al Shields","30","MTM","D","48","5","7","12","","67","","","","","","","","","","",""
"132","Jack Shill","25","TOT","C","45","5","6","11","","18","","","","","","","","","","",""
"133","Eddie Shore","35","BOS","D","48","3","14","17","","42","","","","","","","","","","",""
"134","Babe Siebert","34","MTL","D","37","8","11","19","","56","","","","","","","","","","",""
"135","Clint Smith","24","NYR","C","48","14","23","37","","0","","","","","","","","","","",""
"136","Des Smith","23","MTM","D","40","3","1","4","","47","","","","","","","","","","",""
"137","Hooley Smith","35","NYA","C","47","10","10","20","","23","","","","","","","","","","",""
"138","John Sorrell","32","TOT","LW","40","11","9","20","","9","","","","","","","","","","",""
"139","Nels Stewart","35","NYA","C","48","19","17","36","","29","","","","","","","","","","",""
"140","Paul Thompson","31","CBH","LW","48","22","22","44","","14","","","","","","","","","","",""
"141","Bill Thoms","27","TOR","C","48","14","24","38","","14","","","","","","","","","","",""
"142","Dave Trottier","31","MTM","C","47","9","10","19","","42","","","","","","","","","","",""
"143","Lou Trudel","25","CBH","RW","42","6","16","22","","15","","","","","","","","","","",""
"144","Carl Voss","31","TOT","C","37","3","8","11","","0","","","","","","","","","","",""
"145","Jimmy Ward","31","MTM","RW","48","11","15","26","","34","","","","","","","","","","",""
"146","Eddie Wares","22","DET","RW","21","9","7","16","","2","","","","","","","","","","",""
"147","Phil Watson","23","NYR","C","48","7","25","32","","52","","","","","","","","","","",""
"148","Cooney Weiland","33","BOS","C","48","11","12","23","","16","","","","","","","","","","",""
"149","Cy Wentworth","33","MTM","D","48","4","5","9","","32","","","","","","","","","","",""
"150","Art Wiebe","25","CBH","D","43","0","3","3","","24","","","","","","","","","","",""
"151","Don Willson","24","MTL","C","18","2","7","9","","0","","","","","","","","","","",""
"152","Eddie Wiseman","25","NYA","RW","48","18","14","32","","32","","","","","","","","","","",""
"153","Doug Young","29","DET","D","48","3","5","8","","24","","","","","","","","","","",""
